datetime,demand
2025-07-01 00:00:00,15000
2025-07-01 01:00:00,14850
2025-07-01 02:00:00,14720
2025-07-01 03:00:00,14600
2025-07-01 04:00:00,14580
2025-07-01 05:00:00,14650
2025-07-01 06:00:00,14950
2025-07-01 07:00:00,15300
2025-07-01 08:00:00,15800
2025-07-01 09:00:00,16250
2025-07-01 10:00:00,16500
2025-07-01 11:00:00,16620
2025-07-01 12:00:00,16780
2025-07-01 13:00:00,16850
2025-07-01 14:00:00,16700
2025-07-01 15:00:00,16550
2025-07-01 16:00:00,16600
2025-07-01 17:00:00,16900
2025-07-01 18:00:00,17250
2025-07-01 19:00:00,17500
2025-07-01 20:00:00,17420
2025-07-01 21:00:00,17150
2025-07-01 22:00:00,16750
2025-07-01 23:00:00,16200
2025-07-02 00:00:00,15850
2025-07-02 01:00:00,15600
2025-07-02 02:00:00,15450
2025-07-02 03:00:00,15300
2025-07-02 04:00:00,15150
2025-07-02 05:00:00,15200
2025-07-02 06:00:00,15450
2025-07-02 07:00:00,15800
2025-07-02 08:00:00,16200
2025-07-02 09:00:00,16550
2025-07-02 10:00:00,16820
2025-07-02 11:00:00,17050
2025-07-02 12:00:00,17280
2025-07-02 13:00:00,17350
2025-07-02 14:00:00,17200
2025-07-02 15:00:00,17050
2025-07-02 16:00:00,17100
2025-07-02 17:00:00,17450
2025-07-02 18:00:00,17800
2025-07-02 19:00:00,18050
2025-07-02 20:00:00,17920
2025-07-02 21:00:00,17600
2025-07-02 22:00:00,17180
2025-07-02 23:00:00,16650
